Replicate Name,Protein Name,Precursor Ion Name,Precursor Mz,Product Mz,Retention Time,Area,Background,Start Time,End Time,Height
180212_Smp_L1C33DCMplus10m_C,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.24,40,20,8.21,8.25,87
180212_Smp_L1C33DCMplus20m_A,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.21,76,21,8.2,8.28,136
180212_Smp_L1C33DCMplus20m_B,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.22,5,0,8.21,8.24,6
180212_Smp_L1C33DCMplus20m_C,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.23,214,29,8.22,8.27,438
180212_Smp_L2C1DCMless10m_A,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.25,30,1,8.22,8.27,62
180212_Smp_L2C1DCMless10m_B,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.23,195,0,8.21,8.24,469
180212_Smp_L2C1DCMless10m_C,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.24,41,0,8.2,8.26,37
180212_Smp_L2C1DCMless20m_A,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.8,320,1,8.79,8.82,528
180212_Smp_L2C1DCMless20m_B,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.25,14,0,8.2,8.25,10
180212_Smp_L2C1DCMless20m_C,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.26,15,0,8.21,8.28,12
180212_Smp_L2C2DCM_A,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.24,19,4,8.19,8.25,13
180212_Smp_L2C2DCM_B,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.22,180,9,8.2,8.25,317
180212_Smp_L2C2DCM_C,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.23,37,13,8.19,8.23,98
180212_Smp_L2C2DCMplus10m_A,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.24,72,7,8.22,8.26,108
180212_Smp_L2C2DCMplus10m_B,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.22,22,0,8.21,8.24,27
180212_Smp_L2C2DCMplus10m_C,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.24,73,1,8.22,8.26,139
180212_Smp_L2C2DCMplus20m_A,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.24,40,5,8.22,8.27,56
180212_Smp_L2C2DCMplus20m_B,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.2,19,0,8.19,8.24,11
180212_Smp_L2C2DCMplus20m_C,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.24,3,0,8.23,8.24,5
180212_Std_4uMhilicMix4_1,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.22,3870220,44753,8.18,8.34,1228427
180212_Std_4uMhilicMix4_2,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.24,3926994,29700,8.2,8.38,1014572
180212_Blk_MQBlk_1,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.25,261,0,8.21,8.28,280
180212_Blk_MQBlk_2,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.24,18,0,8.22,8.26,40
180212_Blk_MQBlk_3,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.24,3,2,8.22,8.25,5
180212_Blk_SWBlk_1,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.23,65,13,8.21,8.24,162
180212_Blk_SWBlk_2,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.21,24,0,8.18,8.24,18
180212_Blk_SWBlk_3,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.21,15,0,8.2,8.26,10
180212_Poo_TruePoo_Full1,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.23,3832,21,8.17,8.36,1675
180212_Poo_TruePoo_Full2,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.23,1480,0,8.18,8.37,533
180212_Poo_TruePoo_Full3,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.23,2999,28,8.19,8.37,1138
180212_Poo_TruePoo_Half1,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.24,1799,19,8.17,8.36,864
180212_Poo_TruePoo_Half2,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.23,2003,18,8.19,8.37,930
180212_Poo_TruePoo_Half3,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.23,1450,25,8.21,8.36,805
180212_Smp_L1C32DCMless10m_A,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.22,21,5,8.21,8.24,22
180212_Smp_L1C32DCMless10m_B,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.22,128,0,8.2,8.26,136
180212_Smp_L1C32DCMless10m_C,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.24,177,6,8.21,8.24,251
180212_Smp_L1C32DCMless20m_A,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.22,10,6,8.21,8.26,9
180212_Smp_L1C32DCMless20m_B,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.23,231,0,8.21,8.25,341
180212_Smp_L1C32DCMless20m_C,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.23,54,19,8.22,8.25,180
180212_Smp_L1C33DCM_A,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.22,84,0,8.21,8.24,108
180212_Smp_L1C33DCM_B,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.23,125,3,8.21,8.25,223
180212_Smp_L1C33DCM_C,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.23,78,0,8.22,8.27,93
180212_Smp_L1C33DCMplus10m_A,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.22,2,1,8.22,8.24,4
180212_Smp_L1C33DCMplus10m_B,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.24,60,0,8.22,8.26,95
180212_Smp_L1C33DCMplus10m_C,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.23,276,0,8.21,8.25,455
180212_Smp_L1C33DCMplus20m_A,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.24,182,0,8.2,8.28,142
180212_Smp_L1C33DCMplus20m_B,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.22,23,2,8.21,8.24,47
180212_Smp_L1C33DCMplus20m_C,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.23,43,2,8.22,8.27,81
180212_Smp_L2C1DCMless10m_A,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.23,23,0,8.22,8.27,24
180212_Smp_L2C1DCMless10m_B,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.23,20,1,8.21,8.24,43
180212_Smp_L2C1DCMless10m_C,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.23,105,11,8.2,8.26,195
180212_Smp_L2C1DCMless20m_A,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.79,1,4,8.79,8.82,6
180212_Smp_L2C1DCMless20m_B,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.24,32,16,8.2,8.25,0
180212_Smp_L2C1DCMless20m_C,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.23,35,0,8.21,8.28,13
180212_Smp_L2C2DCM_A,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.25,24,16,8.19,8.25,18
180212_Smp_L2C2DCM_B,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.23,67,0,8.2,8.25,93
180212_Smp_L2C2DCM_C,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.22,42,0,8.19,8.23,74
180212_Smp_L2C2DCMplus10m_A,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.24,17,5,8.22,8.26,21
180212_Smp_L2C2DCMplus10m_B,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.21,8,6,8.21,8.24,7
180212_Smp_L2C2DCMplus10m_C,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.23,217,0,8.22,8.26,470
180212_Smp_L2C2DCMplus20m_A,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.24,209,4,8.22,8.27,257
180212_Smp_L2C2DCMplus20m_B,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.19,77,32,8.19,8.24,425
180212_Smp_L2C2DCMplus20m_C,Co-enzyme A,Crotonyl CoA,834.277,158.9767,8.23,2,0,8.23,8.24,5
180212_Std_4uMhilicMix4_1,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.81,2804994,22123,5.76,5.89,1096751
180212_Std_4uMhilicMix4_2,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.83,3155732,52021,5.79,5.92,1162935
180212_Blk_MQBlk_1,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.83,16,0,5.81,5.87,6
180212_Blk_MQBlk_2,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.83,4,0,5.81,5.84,6
180212_Blk_MQBlk_3,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.82,7,2,5.76,5.83,9
180212_Blk_SWBlk_1,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.81,33,0,5.76,5.84,13
180212_Blk_SWBlk_2,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.82,2,26,5.73,5.82,2
180212_Blk_SWBlk_3,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.81,44,0,5.76,5.84,26
180212_Poo_TruePoo_Full1,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.87,2814,0,5.8,5.96,649
180212_Poo_TruePoo_Full2,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.83,1488,54,5.8,5.89,929
180212_Poo_TruePoo_Full3,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.83,2394,3,5.79,5.88,1001
180212_Poo_TruePoo_Half1,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.84,1239,25,5.8,5.88,849
180212_Poo_TruePoo_Half2,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.83,715,50,5.78,5.89,394
180212_Poo_TruePoo_Half3,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.84,395,0,5.81,5.88,197
180212_Smp_L1C32DCMless10m_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.79,100,33,5.74,5.84,57
180212_Smp_L1C32DCMless10m_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.85,180,18,5.81,5.86,162
180212_Smp_L1C32DCMless10m_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.83,1932,20,5.79,5.88,1242
180212_Smp_L1C32DCMless20m_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.81,70,1,5.78,5.88,50
180212_Smp_L1C32DCMless20m_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.84,1096,30,5.77,5.92,704
180212_Smp_L1C32DCMless20m_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.84,1534,6,5.79,5.87,663
180212_Smp_L1C33DCM_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.83,1504,12,5.79,5.88,775
180212_Smp_L1C33DCM_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.84,775,3,5.79,5.86,496
180212_Smp_L1C33DCM_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.84,752,31,5.78,5.86,348
180212_Smp_L1C33DCMplus10m_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.86,152,19,5.81,5.88,139
180212_Smp_L1C33DCMplus10m_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.84,425,30,5.81,5.87,323
180212_Smp_L1C33DCMplus10m_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.84,121,54,5.76,5.87,103
180212_Smp_L1C33DCMplus20m_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.83,15,19,5.8,5.86,11
180212_Smp_L1C33DCMplus20m_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.85,622,4,5.81,5.9,315
180212_Smp_L1C33DCMplus20m_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.84,1327,43,5.8,5.9,868
180212_Smp_L2C1DCMless10m_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.8,124,69,5.8,5.92,153
180212_Smp_L2C1DCMless10m_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.85,62,7,5.78,5.86,38
180212_Smp_L2C1DCMless10m_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.83,776,15,5.78,5.89,508
180212_Smp_L2C1DCMless20m_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.87,707,5,5.82,5.96,305
180212_Smp_L2C1DCMless20m_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.86,643,65,5.79,5.9,431
180212_Smp_L2C1DCMless20m_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.84,130,23,5.81,5.94,97
180212_Smp_L2C2DCM_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.85,1619,0,5.75,6.01,499
180212_Smp_L2C2DCM_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.78,13,0,5.78,5.82,8
180212_Smp_L2C2DCM_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.84,462,23,5.8,5.89,358
180212_Smp_L2C2DCMplus10m_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.84,383,60,5.77,5.86,259
180212_Smp_L2C2DCMplus10m_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.83,483,25,5.8,5.89,179
180212_Smp_L2C2DCMplus10m_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.84,1695,26,5.8,5.88,838
180212_Smp_L2C2DCMplus20m_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.83,901,18,5.8,5.9,611
180212_Smp_L2C2DCMplus20m_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.84,352,0,5.8,5.89,236
180212_Smp_L2C2DCMplus20m_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,425.8855,5.84,36,2,5.81,5.84,37
180212_Std_4uMhilicMix4_1,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.81,3599416,35472,5.76,5.89,1394148
180212_Std_4uMhilicMix4_2,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.83,4325047,62669,5.79,5.92,1547240
180212_Blk_MQBlk_1,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.81,0,0,5.81,5.87,0
180212_Blk_MQBlk_2,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.82,5,0,5.81,5.84,5
180212_Blk_MQBlk_3,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.81,38,0,5.76,5.83,24
180212_Blk_SWBlk_1,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.79,25,23,5.76,5.84,13
180212_Blk_SWBlk_2,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.78,56,2,5.73,5.82,21
180212_Blk_SWBlk_3,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.76,0,25,5.76,5.84,0
180212_Poo_TruePoo_Full1,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.84,2935,25,5.8,5.96,820
180212_Poo_TruePoo_Full2,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.87,1840,20,5.8,5.89,931
180212_Poo_TruePoo_Full3,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.84,3508,27,5.79,5.88,1977
180212_Poo_TruePoo_Half1,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.83,2088,13,5.8,5.88,887
180212_Poo_TruePoo_Half2,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.83,2771,0,5.78,5.89,1391
180212_Poo_TruePoo_Half3,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.84,2638,0,5.81,5.88,1454
180212_Smp_L1C32DCMless10m_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.83,1266,27,5.74,5.84,786
180212_Smp_L1C32DCMless10m_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.83,1792,1,5.81,5.86,884
180212_Smp_L1C32DCMless10m_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.86,1258,18,5.79,5.88,604
180212_Smp_L1C32DCMless20m_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.81,1242,44,5.78,5.88,395
180212_Smp_L1C32DCMless20m_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.83,4017,24,5.77,5.92,1595
180212_Smp_L1C32DCMless20m_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.84,1248,14,5.79,5.87,705
180212_Smp_L1C33DCM_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.82,1401,1,5.79,5.88,609
180212_Smp_L1C33DCM_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.85,1191,21,5.79,5.86,604
180212_Smp_L1C33DCM_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.84,1183,27,5.78,5.86,597
180212_Smp_L1C33DCMplus10m_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.85,131,7,5.81,5.88,119
180212_Smp_L1C33DCMplus10m_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.84,2425,24,5.81,5.87,1066
180212_Smp_L1C33DCMplus10m_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.83,2285,19,5.76,5.87,1080
180212_Smp_L1C33DCMplus20m_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.83,288,20,5.8,5.86,148
180212_Smp_L1C33DCMplus20m_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.85,1108,0,5.81,5.9,452
180212_Smp_L1C33DCMplus20m_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.85,867,58,5.8,5.9,584
180212_Smp_L2C1DCMless10m_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.84,2277,15,5.8,5.92,935
180212_Smp_L2C1DCMless10m_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.83,972,26,5.78,5.86,394
180212_Smp_L2C1DCMless10m_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.83,1834,0,5.78,5.89,880
180212_Smp_L2C1DCMless20m_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.84,862,2,5.82,5.96,496
180212_Smp_L2C1DCMless20m_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.89,706,35,5.79,5.9,271
180212_Smp_L2C1DCMless20m_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.87,1752,0,5.81,5.94,771
180212_Smp_L2C2DCM_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.86,2993,10,5.75,6.01,574
180212_Smp_L2C2DCM_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.8,259,6,5.78,5.82,232
180212_Smp_L2C2DCM_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.84,511,12,5.8,5.89,264
180212_Smp_L2C2DCMplus10m_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.83,518,10,5.77,5.86,242
180212_Smp_L2C2DCMplus10m_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.83,1008,0,5.8,5.89,583
180212_Smp_L2C2DCMplus10m_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.84,1474,34,5.8,5.88,663
180212_Smp_L2C2DCMplus20m_A,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.83,586,39,5.8,5.9,310
180212_Smp_L2C2DCMplus20m_B,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.84,1130,37,5.8,5.89,626
180212_Smp_L2C2DCMplus20m_C,Co-enzyme A,Hydroxybutyryl CoA,852.1043,158.902,5.83,673,2,5.81,5.84,525
180212_Std_4uMhilicMix4_1,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.76,3929229,36900,2.7,2.84,1531779
180212_Std_4uMhilicMix4_2,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.78,6291893,59458,2.73,2.87,2462945
180212_Blk_MQBlk_1,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.8,764,23,2.76,2.84,376
180212_Blk_MQBlk_2,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.78,623,8,2.72,2.81,298
180212_Blk_MQBlk_3,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.75,83,6,2.72,2.8,55
180212_Blk_SWBlk_1,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.82,1139,23,2.77,2.84,452
180212_Blk_SWBlk_2,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.78,442,0,2.76,2.83,299
180212_Blk_SWBlk_3,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.77,1426,27,2.73,2.81,618
180212_Poo_TruePoo_Full1,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.95,11715,75,2.9,3.02,4235
180212_Poo_TruePoo_Full2,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.93,7139,52,2.89,3.02,2537
180212_Poo_TruePoo_Full3,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.96,9884,88,2.91,3.03,3098
180212_Poo_TruePoo_Half1,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.94,12327,19,2.89,3.02,4393
180212_Poo_TruePoo_Half2,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.93,10669,215,2.89,3,5869
180212_Poo_TruePoo_Half3,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.94,12310,124,2.89,3.03,4586
180212_Smp_L1C32DCMless10m_A,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.95,4378,109,2.89,2.99,1689
180212_Smp_L1C32DCMless10m_B,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.96,5406,487,2.9,3.02,1561
180212_Smp_L1C32DCMless10m_C,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.94,5267,1022,2.87,3.02,2525
180212_Smp_L1C32DCMless20m_A,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.94,4337,191,2.89,3.11,1364
180212_Smp_L1C32DCMless20m_B,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.96,4781,141,2.83,3.02,1791
180212_Smp_L1C32DCMless20m_C,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.94,6896,421,2.86,3.02,2184
180212_Smp_L1C33DCM_A,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.93,5771,449,2.91,3.02,2565
180212_Smp_L1C33DCM_B,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.94,7182,310,2.88,3.02,2761
180212_Smp_L1C33DCM_C,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.95,4924,46,2.89,3.09,1723
180212_Smp_L1C33DCMplus10m_A,Co-enzyme A,Malonyl CoA,852.1053,808.0725,3,3619,13,2.92,3.07,988
180212_Smp_L1C33DCMplus10m_B,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.95,3861,749,2.9,3.04,1544
180212_Smp_L1C33DCMplus10m_C,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.94,6590,444,2.86,3.02,2703
180212_Smp_L1C33DCMplus20m_A,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.94,3871,573,2.89,3.05,1537
180212_Smp_L1C33DCMplus20m_B,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.95,4640,856,2.89,3.04,1892
180212_Smp_L1C33DCMplus20m_C,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.96,5989,204,2.9,3.06,2151
180212_Smp_L2C1DCMless10m_A,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.95,5750,199,2.89,3.04,3095
180212_Smp_L2C1DCMless10m_B,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.94,5125,1419,2.87,3.06,2807
180212_Smp_L2C1DCMless10m_C,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.95,5530,385,2.86,3.06,2773
180212_Smp_L2C1DCMless20m_A,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.96,5810,42,2.88,3.06,2388
180212_Smp_L2C1DCMless20m_B,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.94,7041,807,2.87,3.02,3349
180212_Smp_L2C1DCMless20m_C,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.94,4629,1109,2.87,3.03,1297
180212_Smp_L2C2DCM_A,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.95,2320,843,2.86,3.02,695
180212_Smp_L2C2DCM_B,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.94,5408,1064,2.9,3.07,2228
180212_Smp_L2C2DCM_C,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.94,5289,39,2.88,3.04,1417
180212_Smp_L2C2DCMplus10m_A,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.94,5091,602,2.86,3,2252
180212_Smp_L2C2DCMplus10m_B,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.93,5653,1014,2.87,3.03,1475
180212_Smp_L2C2DCMplus10m_C,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.95,4155,121,2.88,3.02,1740
180212_Smp_L2C2DCMplus20m_A,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.94,3182,60,2.9,3.02,1181
180212_Smp_L2C2DCMplus20m_B,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.96,3889,495,2.9,3.02,1882
180212_Smp_L2C2DCMplus20m_C,Co-enzyme A,Malonyl CoA,852.1053,808.0725,2.94,3893,273,2.87,3.04,1716
180212_Std_4uMhilicMix4_1,Co-enzyme A,Malonyl CoA,852.1053,408.0135,2.76,1878338,16199,2.7,2.84,722121
180212_Std_4uMhilicMix4_2,Co-enzyme A,Malonyl CoA,852.1053,408.0135,2.79,3176789,18298,2.73,2.87,1211401
180212_Blk_MQBlk_1,Co-enzyme A,Malonyl CoA,852.1053,408.0135,2.77,37,0,2.76,2.84,19
180212_Blk_MQBlk_2,Co-enzyme A,Malonyl CoA,852.1053,408.0135,2.81,10,24,2.72,2.81,12
180212_Blk_MQBlk_3,Co-enzyme A,Malonyl CoA,852.1053,408.0135,2.72,2,14,2.72,2.8,5
